czone,msa,score,rank,housing_share,hh_income,amenity_income_price,amenity_value
20100,"Portland-South Portland, ME Metropolitan Statistical Area",0.054381255,66,0.209235599,88761.37382,0.011378494,1009.97
36000,"Provo-Orem, UT Metropolitan Statistical Area",0.054197096,67,0.23400257,105463.9039,0.01268226,1337.52
31301,"San Antonio, TX Metropolitan Statistical Area",0.053073643,68,0.236681984,93335.53273,0.012561575,1172.44
302,"Harriman, TN Micropolitan Statistical Area",0.051212577,69,0.189759201,89257.06478,0.009718058,867.41
302,"Knoxville, TN Metropolitan Statistical Area",0.051212577,69,0.189759201,89257.06478,0.009718058,867.41
302,"La Follette, TN Micropolitan Statistical Area",0.051212577,69,0.189759201,89257.06478,0.009718058,867.41
7600,"Jacksonville, FL Metropolitan Statistical Area",0.049150694,70,0.233761414,94730.94665,0.011489536,1088.41
7600,"St. Marys, GA Micropolitan Statistical Area",0.049150694,70,0.233761414,94730.94665,0.011489536,1088.41
17400,"Chambersburg, PA Micropolitan Statistical Area",0.047389011,71,0.225994339,95032.96557,0.010709648,1017.77
17400,"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",0.047389011,71,0.225994339,95032.96557,0.010709648,1017.77
17400,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",0.047389011,71,0.225994339,95032.96557,0.010709648,1017.77
19600,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",0.042313521,72,0.257557179,147304.9482,0.010898151,1605.35
19600,"Edison, NJ Metropolitan Division",0.042313521,72,0.257557179,147304.9482,0.010898151,1605.35
19600,"New York-Wayne-White Plains, NY-NJ Metropolitan Division",0.042313521,72,0.257557179,147304.9482,0.010898151,1605.35
19600,"Newark-Union, NJ-PA Metropolitan Division",0.042313521,72,0.257557179,147304.9482,0.010898151,1605.35
19600,"Trenton-Ewing, NJ Metropolitan Statistical Area",0.042313521,72,0.257557179,147304.9482,0.010898151,1605.35
1100,"Hickory-Morganton-Lenoir, NC Metropolitan Statistical Area",0.041635074,73,0.176141376,87309.88,0.007333659,640.3
1100,"Statesville-Mooresville, NC Micropolitan Statistical Area",0.041635074,73,0.176141376,87309.88,0.007333659,640.3
36301,"Blackfoot, ID Micropolitan Statistical Area",0.034052026,74,0.216205986,91265.56643,0.007362252,671.92
36301,"Idaho Falls, ID Metropolitan Statistical Area",0.034052026,74,0.216205986,91265.56643,0.007362252,671.92
36301,"Pocatello, ID Metropolitan Statistical Area",0.034052026,74,0.216205986,91265.56643,0.007362252,671.92
36301,"Rexburg, ID Micropolitan Statistical Area",0.034052026,74,0.216205986,91265.56643,0.007362252,671.92
22900,"La Crosse, WI-MN Metropolitan Statistical Area",0.033297631,75,0.21023318,90659.882,0.007000267,634.64
3300,"Bogalusa, LA Micropolitan Statistical Area",0.018226117,76,0.243057516,106727.9721,0.004429995,472.8
3300,"New Orleans-Metairie-Kenner, LA Metropolitan Statistical Area",0.018226117,76,0.243057516,106727.9721,0.004429995,472.8
2700,"Gulfport-Biloxi, MS Metropolitan Statistical Area",0.016842768,77,0.215713854,81959.70736,0.003633218,297.78
2700,"Pascagoula, MS Metropolitan Statistical Area",0.016842768,77,0.215713854,81959.70736,0.003633218,297.78
2700,"Picayune, MS Micropolitan Statistical Area",0.016842768,77,0.215713854,81959.70736,0.003633218,297.78
31503,"Laredo, TX Metropolitan Statistical Area",0.015491151,78,0.242603136,78816.05516,0.003758202,296.21
37901,"Lake Havasu City-Kingman, AZ Micropolitan Statistical Area",0.005263233,79,0.248598549,98130.9441,0.001308432,128.4
37901,"Las Vegas-Paradise, NV Metropolitan Statistical Area",0.005263233,79,0.248598549,98130.9441,0.001308432,128.4
37901,"Pahrump, NV Micropolitan Statistical Area",0.005263233,79,0.248598549,98130.9441,0.001308432,128.4
2400,"Richmond, VA Metropolitan Statistical Area",-0.00680145,80,0.227052436,110759.2517,-0.001544286,-171.04
1701,"Dunn, NC Micropolitan Statistical Area",-0.011027905,81,0.216091092,115619.2344,-0.002383032,-275.52
1701,"Durham, NC Metropolitan Statistical Area",-0.011027905,81,0.216091092,115619.2344,-0.002383032,-275.52
1701,"Raleigh-Cary, NC Metropolitan Statistical Area",-0.011027905,81,0.216091092,115619.2344,-0.002383032,-275.52
1701,"Sanford, NC Micropolitan Statistical Area",-0.011027905,81,0.216091092,115619.2344,-0.002383032,-275.52
500,"Burlington, NC Metropolitan Statistical Area",-0.016197667,82,0.217426379,82769.56873,-0.0035218,-291.5
500,"Danville, VA Metropolitan Statistical Area",-0.016197667,82,0.217426379,82769.56873,-0.0035218,-291.5
500,"Greensboro-High Point, NC Metropolitan Statistical Area",-0.016197667,82,0.217426379,82769.56873,-0.0035218,-291.5
500,"Lexington-Thomasville, NC Micropolitan Statistical Area",-0.016197667,82,0.217426379,82769.56873,-0.0035218,-291.5
11304,"Bethesda-Frederick-Gaithersburg, MD Metropolitan Division",-0.019921944,83,0.239609905,154390.8622,-0.004773495,-736.98
11304,"Lexington Park, MD Micropolitan Statistical Area",-0.019921944,83,0.239609905,154390.8622,-0.004773495,-736.98
11304,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",-0.019921944,83,0.239609905,154390.8622,-0.004773495,-736.98
37200,"Fresno, CA Metropolitan Statistical Area",-0.021109613,84,0.255893204,89911.63013,-0.005401806,-485.69
37200,"Hanford-Corcoran, CA Metropolitan Statistical Area",-0.021109613,84,0.255893204,89911.63013,-0.005401806,-485.69
37200,"Madera, CA Metropolitan Statistical Area",-0.021109613,84,0.255893204,89911.63013,-0.005401806,-485.69
37200,"Visalia-Porterville, CA Metropolitan Statistical Area",-0.021109613,84,0.255893204,89911.63013,-0.005401806,-485.69
100,"Bristol, VA Metropolitan Statistical Area",-0.024863287,85,0.216968473,89524.26896,-0.005394549,-482.94
100,"Greeneville, TN Micropolitan Statistical Area",-0.024863287,85,0.216968473,89524.26896,-0.005394549,-482.94
100,"Johnson City, TN Metropolitan Statistical Area",-0.024863287,85,0.216968473,89524.26896,-0.005394549,-482.94
100,"Kingsport-Bristol, TN-VA Metropolitan Statistical Area",-0.024863287,85,0.216968473,89524.26896,-0.005394549,-482.94
19500,"Edison, NJ Metropolitan Division",-0.029872781,86,0.251529826,142868.2841,-0.007513895,-1073.5
14500,"Danville, IL Metropolitan Statistical Area",-0.031489331,87,0.227726486,80802.24075,-0.007170955,-579.43
14500,"Frankfort, IN Micropolitan Statistical Area",-0.031489331,87,0.227726486,80802.24075,-0.007170955,-579.43
14500,"Lafayette, IN Metropolitan Statistical Area",-0.031489331,87,0.227726486,80802.24075,-0.007170955,-579.43
15000,"Canton-Massillon, OH Metropolitan Statistical Area",-0.032373071,88,0.183740394,82662.92952,-0.005948241,-491.7
15000,"Coshocton, OH Micropolitan Statistical Area",-0.032373071,88,0.183740394,82662.92952,-0.005948241,-491.7
15000,"New Philadelphia-Dover, OH Micropolitan Statistical Area",-0.032373071,88,0.183740394,82662.92952,-0.005948241,-491.7
15000,"Wooster, OH Micropolitan Statistical Area",-0.032373071,88,0.183740394,82662.92952,-0.005948241,-491.7
3400,"Houma-Bayou Cane-Thibodaux, LA Metropolitan Statistical Area",-0.034439098,89,0.204963112,83461.77738,-0.007058745,-589.14
3400,"Morgan City, LA Micropolitan Statistical Area",-0.034439098,89,0.204963112,83461.77738,-0.007058745,-589.14
3400,"Pierre Part, LA Micropolitan Statistical Area",-0.034439098,89,0.204963112,83461.77738,-0.007058745,-589.14
33100,"Dallas-Plano-Irving, TX Metropolitan Division",-0.034930599,90,0.243581939,115284.9292,-0.008508463,-980.9
33100,"Gainesville, TX Micropolitan Statistical Area",-0.034930599,90,0.243581939,115284.9292,-0.008508463,-980.9
33000,"Fort Worth-Arlington, TX Metropolitan Division",-0.036109598,91,0.230765551,106417.7812,-0.008332851,-886.76
33000,"Granbury, TX Micropolitan Statistical Area",-0.036109598,91,0.230765551,106417.7812,-0.008332851,-886.76
33000,"Mineral Wells, TX Micropolitan Statistical Area",-0.036109598,91,0.230765551,106417.7812,-0.008332851,-886.76
6100,"Albertville, AL Micropolitan Statistical Area",-0.036444857,92,0.200648944,70493.25146,-0.007312622,-515.49
6100,"Gadsden, AL Metropolitan Statistical Area",-0.036444857,92,0.200648944,70493.25146,-0.007312622,-515.49
6100,"Scottsboro, AL Micropolitan Statistical Area",-0.036444857,92,0.200648944,70493.25146,-0.007312622,-515.49
20001,"Bangor, ME Metropolitan Statistical Area",-0.039343034,93,0.200613098,79071.09692,-0.007892728,-624.09
20001,"Rockland, ME Micropolitan Statistical Area",-0.039343034,93,0.200613098,79071.09692,-0.007892728,-624.09
8300,"Anderson, SC Metropolitan Statistical Area",-0.049971293,94,0.190952772,89225.21208,-0.009542157,-851.4
8300,"Greenville, SC Metropolitan Statistical Area",-0.049971293,94,0.190952772,89225.21208,-0.009542157,-851.4
8300,"Greenwood, SC Micropolitan Statistical Area",-0.049971293,94,0.190952772,89225.21208,-0.009542157,-851.4
8300,"Seneca, SC Micropolitan Statistical Area",-0.049971293,94,0.190952772,89225.21208,-0.009542157,-851.4
401,"Mount Airy, NC Micropolitan Statistical Area",-0.054081345,95,0.229253856,88419.70478,-0.012398357,-1096.26
401,"Winston-Salem, NC Metropolitan Statistical Area",-0.054081345,95,0.229253856,88419.70478,-0.012398357,-1096.26
13101,"Louisville, KY-IN Metropolitan Statistical Area",-0.05586473,96,0.212480121,95403.14098,-0.011870145,-1132.45
900,"Albemarle, NC Micropolitan Statistical Area",-0.056020362,97,0.22238559,108977.8058,-0.012458121,-1357.66
900,"Charlotte-Gastonia-Concord, NC-SC Metropolitan Statistical Area",-0.056020362,97,0.22238559,108977.8058,-0.012458121,-1357.66
